1994;11;PPR;PARTIDO PROGRESSISTA REFORMADOR
2004;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO
2004;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
2004;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
2004;29;PCO;PARTIDO DA CAUSA OPERÁRIA
2004;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE
2004;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
2004;36;PTC;PARTIDO TRABALHISTA CRISTÃO
2004;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
2004;43;PV;PARTIDO VERDE
2004;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
2004;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
2004;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL
2004;65;PC do B;PARTIDO COMUNISTA DO BRASIL
2004;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
2006;10;PRB;PARTIDO REPUBLICANO BRASILEIRO
2006;11;PP;PARTIDO PROGRESSISTA
2006;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
2006;13;PT;PARTIDO DOS TRABALHADORES
2006;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
2006;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
2006;17;PSL;PARTIDO SOCIAL LIBERAL
2006;19;PTN;PARTIDO TRABALHISTA NACIONAL
2006;20;PSC;PARTIDO SOCIAL CRISTÃO
2006;21;PCB;PARTIDO COMUNISTA BRASILEIRO
2006;22;PL;PARTIDO LIBERAL
2006;23;PPS;PARTIDO POPULAR SOCIALISTA
2006;25;PFL;PARTIDO DA FRENTE LIBERAL
2006;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO
2006;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
2006;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
2006;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE
2006;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
2006;36;PTC;PARTIDO TRABALHISTA CRISTÃO
2006;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
2006;43;PV;PARTIDO VERDE
2006;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
2006;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
2006;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE
2006;56;PRONA;PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL
2006;65;PC do B;PARTIDO COMUNISTA DO BRASIL
2006;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
2008;10;PRB;PARTIDO REPUBLICANO BRASILEIRO
2008;11;PP;PARTIDO PROGRESSISTA
2008;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
2008;13;PT;PARTIDO DOS TRABALHADORES
2008;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
2008;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
2008;17;PSL;PARTIDO SOCIAL LIBERAL
2008;19;PTN;PARTIDO TRABALHISTA NACIONAL
2008;20;PSC;PARTIDO SOCIAL CRISTÃO
2008;21;PCB;PARTIDO COMUNISTA BRASILEIRO
2008;22;PR;PARTIDO DA REPÚBLICA
2008;23;PPS;PARTIDO POPULAR SOCIALISTA
2008;25;DEM;DEMOCRATAS
2008;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
2008;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
2008;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE
2008;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
2008;36;PTC;PARTIDO TRABALHISTA CRISTÃO
2008;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
2008;43;PV;PARTIDO VERDE
2008;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
2008;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
2008;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE
2008;65;PC do B;PARTIDO COMUNISTA DO BRASIL
2008;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
2010;10;PRB;PARTIDO REPUBLICANO BRASILEIRO
2010;11;PP;PARTIDO PROGRESSISTA
2010;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
2010;13;PT;PARTIDO DOS TRABALHADORES
2010;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
2010;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
2010;17;PSL;PARTIDO SOCIAL LIBERAL
2010;19;PTN;PARTIDO TRABALHISTA NACIONAL
2010;20;PSC;PARTIDO SOCIAL CRISTÃO
2010;22;PR;PARTIDO DA REPÚBLICA
2010;23;PPS;PARTIDO POPULAR SOCIALISTA
2010;25;DEM;DEMOCRATAS
2010;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
2010;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
2010;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE
2010;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
2010;36;PTC;PARTIDO TRABALHISTA CRISTÃO
2010;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
2010;43;PV;PARTIDO VERDE
2010;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
2010;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
2010;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE
2010;65;PC do B;PARTIDO COMUNISTA DO BRASIL
2010;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
2012;10;PRB;PARTIDO REPUBLICANO BRASILEIRO
2012;11;PP;PARTIDO PROGRESSISTA
2012;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
2012;13;PT;PARTIDO DOS TRABALHADORES
2012;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
2012;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
2012;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
2012;17;PSL;PARTIDO SOCIAL LIBERAL
2012;19;PTN;PARTIDO TRABALHISTA NACIONAL
2012;20;PSC;PARTIDO SOCIAL CRISTÃO
2012;21;PCB;PARTIDO COMUNISTA BRASILEIRO
2012;22;PR;PARTIDO DA REPÚBLICA
2012;23;PPS;PARTIDO POPULAR SOCIALISTA
2012;25;DEM;DEMOCRATAS
2012;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
2012;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
2012;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE
2012;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
2012;36;PTC;PARTIDO TRABALHISTA CRISTÃO
2012;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
2012;43;PV;PARTIDO VERDE
2012;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
2012;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
2012;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE
2012;54;PPL;PARTIDO PÁTRIA LIVRE
2012;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO
2012;65;PC do B;PARTIDO COMUNISTA DO BRASIL
2012;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
2014;10;PRB;Partido Republicano Brasileiro
2014;11;PP;Partido Progressista
2014;12;PDT;Partido Democrático Trabalhista
2014;13;PT;Partido dos Trabalhadores
2014;14;PTB;Partido Trabalhista Brasileiro
2014;15;PMDB;Partido do Movimento Democrático Brasileiro
2014;17;PSL;Partido Social Liberal
2014;19;PTN;Partido Trabalhista Nacional
2014;20;PSC;Partido Social Cristão
2014;22;PR;Partido da República
2014;23;PPS;Partido Popular Socialista
2014;25;DEM;Democratas
2014;27;PSDC;Partido Social Democrata Cristão
2014;28;PRTB;Partido Renovador Trabalhista Brasileiro
2014;31;PHS;Partido Humanista da Solidariedade
2014;33;PMN;Partido da Mobilização Nacional
2014;36;PTC;Partido Trabalhista Cristão
2014;40;PSB;Partido Socialista Brasileiro
2014;43;PV;Partido Verde
2014;44;PRP;Partido Republicano Progressista
2014;45;PSDB;Partido da Social Democracia Brasileira
2014;50;PSOL;Partido Socialismo e Liberdade
2014;51;PEN;Partido Ecológico Nacional
2014;54;PPL;Partido Pátria Livre
2014;55;PSD;Partido Social Democrático
2014;65;PC do B;Partido Comunista do Brasil
2014;70;PT do B;Partido Trabalhista do Brasil
2014;77;SD;Solidariedade
2014;90;PROS;Partido Republicano da Ordem Social
